st,state,year,partycontrol,democracy_mcmc,democracy_mcmc_sd,democracy_mcmc_se,democracy_additive
AL,Alabama,2018,0,-1.443256114,0.307740977,0.002176057,-0.43753118
AL,Alabama,2017,0,-1.453594007,0.306855957,0.002169799,-0.514498087
AL,Alabama,2016,0,-1.454797283,0.305442237,0.002159803,-0.514498087
AL,Alabama,2015,0,-1.425692294,0.306386223,0.002166478,-1.502082825
AL,Alabama,2014,0,-1.425753912,0.30635071,0.002166227,-1.502082825
AL,Alabama,2013,0,-1.630493981,0.307317917,0.002173066,-1.528253151
AL,Alabama,2012,0,-1.630051691,0.306300196,0.002165869,-1.51902717
AL,Alabama,2011,0,-0.815177409,0.308915982,0.002184366,-1.291878019
AL,Alabama,2010,1,-0.807453924,0.307660749,0.00217549,-1.283853134
AL,Alabama,2009,1,0.096130668,0.306406083,0.002166618,-1.085360735
AL,Alabama,2008,1,0.084439591,0.308368767,0.002180496,-1.124251087
AL,Alabama,2007,1,-0.806056098,0.305201001,0.002158097,-1.635728814
AL,Alabama,2006,1,-0.801563774,0.305558474,0.002160625,-1.605235591
AL,Alabama,2005,1,-0.731807388,0.30479088,0.002155197,-1.554596183
AL,Alabama,2004,1,-0.716452855,0.306977417,0.002170658,-1.516382604
AL,Alabama,2003,1,-0.832906913,0.305263558,0.002158539,-1.72932836
AL,Alabama,2002,2,-0.751490772,0.304576887,0.002153684,-1.566248624
AL,Alabama,2001,2,-1.386796933,0.302729268,0.002140619,-1.737443734
AL,Alabama,2000,2,-1.417668626,0.306354037,0.00216625,-1.808554542
AK,Alaska,2018,1,0.174086606,0.304203371,0.002151043,1.629786895
AK,Alaska,2017,1,0.172404034,0.306506375,0.002167327,1.421218219
AK,Alaska,2016,1,0.172897354,0.304158182,0.002150723,1.421218219
AK,Alaska,2015,1,0.185831397,0.30285072,0.002141478,0.764020974
AK,Alaska,2014,0,0.18326089,0.302946435,0.002142155,0.764020974
AK,Alaska,2013,0,0.203194107,0.300115414,0.002122136,0.837053366
AK,Alaska,2012,1,0.191564378,0.301812493,0.002134137,0.826797267
AK,Alaska,2011,1,0.145994875,0.303817353,0.002148313,0.643011368
AK,Alaska,2010,1,0.150536902,0.30754119,0.002174645,0.656601107
AK,Alaska,2009,1,0.246525143,0.304652774,0.00215422,0.406664199
AK,Alaska,2008,0,0.243178111,0.30241221,0.002138377,0.424380677
AK,Alaska,2007,0,0.212687274,0.303135183,0.002143489,0.31623461
AK,Alaska,2006,0,0.215002008,0.304825841,0.002155444,0.318913048
AK,Alaska,2005,0,0.252986018,0.303023592,0.0021427,0.435064561
AK,Alaska,2004,0,0.254610249,0.302718239,0.002140541,0.437505555
AK,Alaska,2003,0,0.233380748,0.300114991,0.002122133,0.369441614
AK,Alaska,2002,1,0.236144883,0.301310867,0.00213059,0.356653991
AK,Alaska,2001,1,0.23046425,0.30128938,0.002130438,0.153326713
AK,Alaska,2000,1,0.242083738,0.303162946,0.002143686,0.169411561
AZ,Arizona,2018,0,0.653683782,0.305317701,0.002158922,0.307481689
AZ,Arizona,2017,0,0.670993108,0.307069385,0.002171308,0.248352828
AZ,Arizona,2016,0,0.668705669,0.305955716,0.002163434,0.248352828
AZ,Arizona,2015,0,0.650897888,0.307021675,0.002170971,0.070806861
AZ,Arizona,2014,0,0.647803942,0.306541242,0.002167574,0.070806861
AZ,Arizona,2013,0,0.397874779,0.304855019,0.002155651,-0.254209042
AZ,Arizona,2012,0,0.436585717,0.307018229,0.002170947,-0.195531322
AZ,Arizona,2011,0,0.059805835,0.30369861,0.002147473,-0.736167333
AZ,Arizona,2010,0,0.068230824,0.308993498,0.002184914,-0.731302722
AZ,Arizona,2009,0,0.079343454,0.304053752,0.002149985,-1.303557533
AZ,Arizona,2008,1,0.056614155,0.306828238,0.002169603,-1.31900657
AZ,Arizona,2007,1,0.510264172,0.307102339,0.002171541,-1.071086993
AZ,Arizona,2006,1,0.500558734,0.30205386,0.002135843,-1.074213623
AZ,Arizona,2005,1,-0.538420832,0.30576506,0.002162085,-1.288858739
AZ,Arizona,2004,1,-0.530980176,0.307311275,0.002173019,-1.276594535
AZ,Arizona,2003,1,-0.293071317,0.304746266,0.002154882,-0.867464597
AZ,Arizona,2002,1,-0.289746214,0.305127564,0.002157578,-0.863898258
AZ,Arizona,2001,1,-0.27961526,0.303386066,0.002145263,-0.816921736
AZ,Arizona,2000,0,-0.277847784,0.306301336,0.002165878,-0.824655469
AR,Arkansas,2018,0,-1.090207035,0.303982943,0.002149484,-1.296993386
AR,Arkansas,2017,0,-1.093527111,0.305853512,0.002162711,-1.161971322
AR,Arkansas,2016,0,-1.096391156,0.30508584,0.002157283,-1.161971322
AR,Arkansas,2015,0,-0.797600894,0.305328254,0.002158997,-1.089054432
AR,Arkansas,2014,1,-0.794795185,0.306065698,0.002164211,-1.089054432
AR,Arkansas,2013,1,-0.584205448,0.303509602,0.002146137,-0.607254524
AR,Arkansas,2012,2,-0.312481685,0.304820849,0.002155409,-0.061999573
AR,Arkansas,2011,2,-0.248614615,0.303883607,0.002148782,-0.293734303
AR,Arkansas,2010,2,-0.254615168,0.303778334,0.002148037,-0.284261786
AR,Arkansas,2009,2,-0.194516242,0.30444801,0.002152773,-0.192008509
AR,Arkansas,2008,2,-0.226373821,0.302312237,0.00213767,-0.206904483
AR,Arkansas,2007,2,-0.304914056,0.302324377,0.002137756,-0.269418028
AR,Arkansas,2006,1,-0.301170175,0.304534189,0.002153382,-0.262460044
AR,Arkansas,2005,1,-0.192600473,0.301894037,0.002134713,-0.195282466
AR,Arkansas,2004,1,-0.156038892,0.302480954,0.002138863,-0.15325091
AR,Arkansas,2003,1,-0.080184449,0.301837216,0.002134311,-0.146988186
AR,Arkansas,2002,1,-0.114918571,0.302749054,0.002140759,-0.16316954
AR,Arkansas,2001,1,-0.015011268,0.303446433,0.00214569,-0.05587434
AR,Arkansas,2000,1,0.041319077,0.304853055,0.002155637,-0.030180338
CA,California,2018,2,1.124669545,0.306686453,0.002168601,1.563196472
CA,California,2017,2,1.254381542,0.307260101,0.002172657,1.444327759
CA,California,2016,2,1.250198979,0.305562255,0.002160651,1.444327759
CA,California,2015,2,1.399986259,0.308077467,0.002178437,0.608121527
CA,California,2014,2,1.399238508,0.30803528,0.002178138,0.608121527
CA,California,2013,2,1.846947917,0.306656725,0.00216839,0.673173934
CA,California,2012,2,1.847103409,0.305369563,0.002159289,0.635240346
CA,California,2011,2,0.992503439,0.307766019,0.002176234,-0.599310049
CA,California,2010,1,0.995939456,0.302642179,0.002140003,-0.62512284
CA,California,2009,1,0.381467958,0.306785722,0.002169303,-0.782136233
CA,California,2008,1,0.386586989,0.304264361,0.002151474,-0.776400474
CA,California,2007,1,0.96513137,0.305204702,0.002158123,-0.55761855
CA,California,2006,1,0.954536026,0.305063977,0.002157128,-0.528010394
CA,California,2005,1,1.02060488,0.304364682,0.002152183,-0.224574157
CA,California,2004,1,0.977284028,0.305003785,0.002156702,-0.42302248
CA,California,2003,2,0.777326341,0.302114277,0.002136271,-0.487203485
CA,California,2002,2,0.81400043,0.305247312,0.002158424,-0.498808021
CA,California,2001,2,1.346898417,0.306649253,0.002168338,-0.049746014
CA,California,2000,2,1.321881675,0.306953951,0.002170492,-0.122467582
CO,Colorado,2018,1,1.518739858,0.308682516,0.002182715,2.207696411
CO,Colorado,2017,1,1.271161399,0.306046039,0.002164072,1.652104689
CO,Colorado,2016,1,1.264488877,0.309202715,0.002186393,1.652104689
CO,Colorado,2015,1,1.572208592,0.306824763,0.002169579,1.78141361
CO,Colorado,2014,2,1.577970678,0.309019158,0.002185095,1.78141361
CO,Colorado,2013,2,1.509056093,0.304461028,0.002152865,1.835967524
CO,Colorado,2012,1,1.40285374,0.304506899,0.002153189,1.252091646
CO,Colorado,2011,1,1.077512696,0.306286821,0.002165775,0.863117113
CO,Colorado,2010,2,1.071230852,0.30420407,0.002151048,0.85224249
CO,Colorado,2009,2,0.640043917,0.303237622,0.002144214,0.257317449
CO,Colorado,2008,2,0.621651188,0.303586529,0.002146681,0.233948777
CO,Colorado,2007,2,1.52524481,0.304356778,0.002152127,0.623715154
CO,Colorado,2006,1,1.518180344,0.30517323,0.002157901,0.611948662
CO,Colorado,2005,1,1.138435235,0.306444531,0.00216689,0.54086835
CO,Colorado,2004,0,1.132808115,0.305252825,0.002158463,0.541552478
CO,Colorado,2003,0,1.260203198,0.303450567,0.00214572,0.533109425
CO,Colorado,2002,1,1.383609507,0.307700407,0.00217577,0.566305134
CO,Colorado,2001,1,1.305174081,0.305847576,0.002162669,0.430359586
CO,Colorado,2000,0,1.307657991,0.305992164,0.002163691,0.435120313
CT,Connecticut,2018,2,0.006125834,0.305699544,0.002161622,1.346437874
CT,Connecticut,2017,2,0.003665267,0.302556245,0.002139396,1.217493102
CT,Connecticut,2016,2,0.007277282,0.301540558,0.002132214,1.217493102
CT,Connecticut,2015,2,0.247155713,0.302683811,0.002140298,0.901808625
CT,Connecticut,2014,2,0.24373547,0.302580631,0.002139568,0.901808625
CT,Connecticut,2013,2,0.271659841,0.30335714,0.002145059,0.734117472
CT,Connecticut,2012,2,0.269881362,0.30455644,0.002153539,0.597887292
CT,Connecticut,2011,2,0.265708571,0.304292934,0.002151676,-0.246370801
CT,Connecticut,2010,1,0.234183345,0.303052432,0.002142904,-0.349870149
CT,Connecticut,2009,1,0.143864477,0.303105133,0.002143277,-0.702622175
CT,Connecticut,2008,1,0.126931516,0.302577838,0.002139548,-0.751286136
CT,Connecticut,2007,1,0.135252604,0.303388346,0.00214528,-0.80065263
CT,Connecticut,2006,1,0.130545061,0.302170788,0.00213667,-0.783276647
CT,Connecticut,2005,1,-0.008021567,0.301760503,0.002133769,-0.972350613
CT,Connecticut,2004,1,0.000406905,0.303028848,0.002142738,-0.962422785
CT,Connecticut,2003,1,0.186680414,0.303612501,0.002146865,-1.005612674
CT,Connecticut,2002,1,0.19050056,0.303128084,0.002143439,-0.99671624
CT,Connecticut,2001,1,0.099874357,0.302545183,0.002139318,-0.955172116
CT,Connecticut,2000,1,0.100552855,0.302320135,0.002137726,-0.955699093
DE,Delaware,2018,2,-0.243333028,0.303275131,0.002144479,0.654158334
DE,Delaware,2017,2,-0.242450572,0.302528006,0.002139196,0.79607306
DE,Delaware,2016,2,-0.240832344,0.305290384,0.002158729,0.79607306
DE,Delaware,2015,2,-0.046142107,0.304619575,0.002153986,0.536318152
DE,Delaware,2014,2,-0.047543717,0.306137909,0.002164722,0.536318152
DE,Delaware,2013,2,0.126904343,0.303860855,0.002148621,0.308224582
DE,Delaware,2012,2,0.080995567,0.304774723,0.002155083,0.177827728
DE,Delaware,2011,2,0.211312215,0.304570877,0.002153641,0.093566872
DE,Delaware,2010,2,0.216001954,0.303897852,0.002148882,0.096951349
DE,Delaware,2009,2,-0.031229573,0.304293219,0.002151678,-0.117687384
DE,Delaware,2008,1,-0.058040793,0.305409321,0.00215957,-0.161753843
DE,Delaware,2007,1,-0.496328001,0.305994749,0.00216371,-0.686575075
DE,Delaware,2006,1,-0.492972801,0.305249045,0.002158437,-0.684508489
DE,Delaware,2005,1,-0.571793609,0.306423985,0.002166745,-0.63114174
DE,Delaware,2004,1,-0.57521192,0.304182051,0.002150892,-0.646012638
DE,Delaware,2003,1,-0.339088441,0.302683919,0.002140299,-0.587501558
DE,Delaware,2002,1,-0.379804408,0.306160502,0.002164882,-0.634871263
DE,Delaware,2001,1,-0.703166601,0.305865002,0.002162792,-0.851299774
DE,Delaware,2000,1,-0.703757102,0.306708072,0.002168754,-0.855657049
